colony_number,block,treatment,triad,experiment_census_day,wax_moth,worker_number,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day
12,1,sivanto,3,49,N,16,BA,porkka,11,11,56,61,1
171,1,sivanto,4,49,N,16,BG,porkka,6,9,30,35,27
177,1,flup,4,49,N,33,BG,porkka,6,9,34,35,27
116,1,control,4,49,N,19,BG,porkka,7,7,39,40,22
198,3,flup,12,42,N,45,WA,porkka,6,11,39,40,30
83,3,sivanto,11,42,N,57,M,porkka,7,28,50,51,19
159,3,sivanto,10,42,N,48,BG,porkka,9,9,42,43,27
77,3,flup,11,42,N,30,M,porkka,6,24,50,51,19
105,3,control,9,42,N,64,BA,porkka,10,9,49,50,20
181,3,flup,9,42,N,23,BA,porkka,14,9,42,43,27
72,3,control,12,42,N,11,WA,porkka,5,17,50,51,19
197,3,sivanto,9,42,N,74,BA,porkka,11,6,32,40,30
174,3,sivanto,12,42,N,28,WA,porkka,6,9,42,43,27
203,3,control,11,42,N,68,M,porkka,7,24,39,40,30
123,3,flup,10,42,N,16,BG,porkka,9,7,47,48,22
4,3,control,10,42,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,49,N,1,BG,porkka,10,8,41,44,20
76,2,sivanto,5,49,N,23,BG,porkka,19,9,42,45,19
46,2,flup,5,49,N,33,BG,porkka,10,18,51,54,10
104,2,sivanto,6,49,N,26,M,porkka,8,9,41,44,20
87,2,control,6,49,N,2,M,porkka,8,8,41,44,20
33,2,control,7,49,N,13,WA,porkka,7,10,52,55,9
170,2,flup,7,49,N,17,WA,porkka,7,9,34,37,27
119,2,flup,8,49,N,27,BA,porkka,5,14,39,42,22
124,2,flup,6,49,N,43,M,porkka,10,7,39,42,22
131,2,control,8,49,N,35,BA,porkka,6,7,39,42,22
127,2,sivanto,7,49,N,22,WA,porkka,7,14,39,42,22
143,2,sivanto,8,49,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,35,N,7,WA,porkka,14,23,67,69,10
39,4,control,13,35,N,46,WA,porkka,20,27,68,70,9
79,4,control,15,35,N,9,BG,porkka,10,17,58,60,19
84,4,sivanto,15,35,N,12,BG,porkka,7,17,58,60,19
134,4,flup,13,35,N,74,WA,porkka,15,7,55,57,22
163,4,sivanto,14,35,N,6,BA,porkka,10,9,50,52,27
176,4,sivanto,16,35,N,28,M,porkka,5,9,50,52,27
194,4,flup,14,35,N,33,BA,porkka,16,11,47,49,30
214,4,control,16,35,N,19,M,porkka,8,24,47,49,30
248,4,control,14,35,N,79,BA,bee_room,8,20,42,44,35
237,4,flup,15,35,N,55,BG,bee_room,9,20,42,44,35
229,4,flup,16,35,N,31,M,bee_room,8,20,42,44,35
75,5,control,20,35,N,7,BG,porkka,8,17,58,60,19
118,5,control,18,35,N,43,WA,porkka,13,7,55,57,22
135,5,sivanto,19,35,N,35,BA,porkka,9,25,55,57,22
140,5,flup,18,35,N,51,WA,porkka,16,7,55,57,22
191,5,flup,17,35,N,64,M,porkka,16,9,50,52,27
216,5,control,17,35,N,78,M,porkka,23,6,47,49,30
250,5,sivanto,20,35,N,37,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,35,N,100,M,bee_room,23,6,40,42,37
315,5,flup,20,35,N,52,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,35,N,16,WA,bee_room,15,12,41,43,36
277,5,control,19,35,N,45,BA,bee_room,11,18,40,42,37
